
2024/07/05 (17:48:06) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/07/05 (17:48:06) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/07/05 (17:48:06) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/05 (17:48:06) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/07/05 (17:48:06) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/07/05 (17:48:06) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/07/05 (17:48:06) | DEBUG: Shared::init() : Initialized.
2024/07/05 (17:48:15) | INFO: Quitting! Runtime: 00:00:09

2024/07/05 (17:49:04) | ===> btop++ v.1.3.2
2024/07/05 (17:49:04) | INFO: Logger set to DEBUG
2024/07/05 (17:49:04) | DEBUG: Setting LC_ALL=en_US.UTF-8
2024/07/05 (17:49:04) | INFO: Running on /dev/pts/1
2024/07/05 (17:49:04) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/07/05 (17:49:04) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/07/05 (17:49:04) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/05 (17:49:04) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/07/05 (17:49:04) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/07/05 (17:49:04) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/07/05 (17:49:04) | DEBUG: Shared::init() : Initialized.

2024/07/07 (13:44:33) | ===> btop++ v.1.3.2
2024/07/07 (13:44:33) | INFO: Logger set to DEBUG
2024/07/07 (13:44:33) | DEBUG: Setting LC_ALL=en_US.UTF-8
2024/07/07 (13:44:33) | INFO: Running on /dev/pts/2
2024/07/07 (13:44:33) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/07/07 (13:44:33) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/07/07 (13:44:33) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/07 (13:44:33) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/07/07 (13:44:33) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/07/07 (13:44:33) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/07/07 (13:44:33) | DEBUG: Shared::init() : Initialized.
2024/07/07 (13:44:43) | INFO: Quitting! Runtime: 00:00:10

2024/07/09 (13:50:58) | ===> btop++ v.1.3.2
2024/07/09 (13:50:58) | INFO: Logger set to DEBUG
2024/07/09 (13:50:58) | DEBUG: Setting LC_ALL=en_US.UTF-8
2024/07/09 (13:50:58) | INFO: Running on /dev/pts/0
2024/07/09 (13:50:58) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/07/09 (13:50:58) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/07/09 (13:50:58) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/09 (13:50:58) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/07/09 (13:50:58) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/07/09 (13:50:58) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/07/09 (13:50:58) | DEBUG: Shared::init() : Initialized.

2024/07/09 (13:51:13) | ===> btop++ v.1.3.2
2024/07/09 (13:51:13) | INFO: Logger set to DEBUG
2024/07/09 (13:51:13) | DEBUG: Setting LC_ALL=en_US.UTF-8
2024/07/09 (13:51:13) | INFO: Running on /dev/pts/0
2024/07/09 (13:51:13) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/07/09 (13:51:13) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/07/09 (13:51:13) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/09 (13:51:13) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/07/09 (13:51:13) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/07/09 (13:51:13) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/07/09 (13:51:13) | DEBUG: Shared::init() : Initialized.

2024/07/09 (16:08:11) | ===> btop++ v.1.3.2
2024/07/09 (16:08:11) | INFO: Logger set to DEBUG
2024/07/09 (16:08:11) | DEBUG: Setting LC_ALL=en_US.UTF-8
2024/07/09 (16:08:11) | INFO: Running on /dev/pts/1
2024/07/09 (16:08:11) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/07/09 (16:08:11) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/07/09 (16:08:11) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/09 (16:08:11) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/07/09 (16:08:11) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/07/09 (16:08:11) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/07/09 (16:08:11) | DEBUG: Shared::init() : Initialized.

2024/07/10 (21:28:26) | ===> btop++ v.1.3.2
2024/07/10 (21:28:26) | INFO: Logger set to DEBUG
2024/07/10 (21:28:26) | DEBUG: Setting LC_ALL=en_US.UTF-8
2024/07/10 (21:28:26) | INFO: Running on /dev/pts/1
2024/07/10 (21:28:27) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/07/10 (21:28:27) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/07/10 (21:28:27) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/10 (21:28:27) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/07/10 (21:28:27) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/07/10 (21:28:27) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/07/10 (21:28:27) | DEBUG: Shared::init() : Initialized.

2024/07/10 (21:52:16) | ===> btop++ v.1.3.2
2024/07/10 (21:52:16) | INFO: Logger set to DEBUG
2024/07/10 (21:52:16) | DEBUG: Setting LC_ALL=en_US.UTF-8
2024/07/10 (21:52:16) | INFO: Running on /dev/pts/0
2024/07/10 (21:52:16) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/07/10 (21:52:16) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/07/10 (21:52:16) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/10 (21:52:16) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/07/10 (21:52:16) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/07/10 (21:52:16) | WARNING: ROCm SMI: Failed to get PCIe throughput
